管理番号,作家,間口,奥行,高さ,タイトル,価格,本文,"本文
文字数",,,,
3-18-197,柴田家千代作,45,31,42,"衣裳着帯地親王収納飾りセット一式
高級結シリーズ
収納","180,400","正絹吉祥文様の帯地衣裳は毎年人気が高く、特にこの結シリーズのお雛様はコンパクトに飾れてつくりにこだわっていることから大変好評をいただいております。明るい木目を生かした収納台がおしゃれです。
",95,,,,
3-18-078,柴田家千代作,45,30,42,"衣裳着泥染め親王飾りセット一式
高級結シリーズ
※つるし飾りと名前札は別売になります。","180,400","コンパクトで場所を取らずに飾れる人気のシリーズです。衣裳は植物染料と泥に含まれる鉄分を反応させて染める伝統的な染色方法の泥染めの高級品です。小さいながらも見どころ満載のセットです。人気商品ですのでお早めにお求めください。
",111,,,,
3-18-008,柴田家千代作,50,30,29,"衣裳着黄櫨染親王飾りセット一式
高級結シリーズ","183,700",誰もが一度は耳にしたことがある京都西陣の衣裳を身にまとったお雛様です。天皇陛下がご即位などの祭事でお召しになられる黄櫨染のお殿様に人気の古典柄の丸紋衣裳が特徴です。溜塗りに金箔屛風のコンビネーションが印象的です。,106,,,,
3-18-096,柴田家千代作,46,27,40,"衣裳着親王収納飾りセット一式
収納","185,900",衣裳は殿・姫共柄でパステルグリーンとピンクの花柄がかわいらしいお雛様です。屏風にはしだれ桜の刺繍が施され収納飾り台は白木調の木目が印象的です。春らしい明るい雰囲気が表現されています。,91,,,,
3-18-091,柴田家千代作,45,30,41,"衣裳着麹塵親王収納飾りセット一式
高級結シリーズ
収納","191,400",お殿様は麹塵と言って光の加減により色が変わる珍しい衣裳です。柴田家千代の衣裳は和・洋問わず様々な素材を用いることで有名です。木目を活かした屏風には松葉の蒔絵を、収納台には金銀箔を重ね付けすることで模様を作る引箔という技法を用いた細工が施されています。,125,,,,
3-18-098,柴田家千代作,50,30,46,"衣裳着刺繍親王飾りセット一式
収納","192,500",つる花刺繍が施されたかわいらしい衣裳が人気です。屏風と収納飾り台にはモダンなプレートがデザインされています。おしゃれにコンパクトに飾りたい方にはピッタリのセットです。,83,,,,
3-18-073,柴田家千代作,60,32,31,"衣裳着雲立湧親王飾りセット一式
※羽子板は別売になります。観葉植物は付きません。","193,600","雲立涌文様の衣裳は運気が上昇するといわれ、とても縁起がいいとされています。黒のお殿様の衣裳は高級感を、ピンクのお姫様の衣裳は可愛らしさを表現し、どちらもバックの金屏風と良く合います。竹細工の花飾りも人気の理由です。
",108,,,,
3-18-045,柴田家千代作,60,30,30,衣裳着刺繍親王飾りセット一式,"210,100",薄紫と白をベースに花柄の刺繍を施した最近人気の高い色合いのお雛様です。昨年度大変人気のあったお雛様です。木目調の屏風にはぼんぼりの代わりに灯りが埋め込まれています。,82,,,,
3-18-072,"柴田家千代作
",70,40,30,衣裳着刺繍親王飾りセット一式,"214,500",鮮やかな青い衣裳のお殿様とアイボリーのかわいらしい刺繍を施したお姫様です。昨年度も大変ご好評をいただきましたお雛様です。飾り台は木目調の楕円型のやわらかい雰囲気のデザインです。屏風にはおしゃれな花柄の蒔絵が施されています。,111,,,,
3-18-151,柴田家千代作,67,35,55,"衣裳着金彩刺繍親王収納飾りセット一式
収納","217,800",シャープな輪郭のお顔と白を基調とした金彩刺繍加工を施した衣裳が人気です。屏風と収納箱には桐素材の表面に焼き入れ加工をし、落ち着きのあるテイストに仕上げました。立体的な月桜の刺繍がアクセントになっています。,102,,,,
